SHC will run under the following conditions:
******************************************
Rating category: TE-depth
Rating all puzzles in this file: examples/TE-input.txt
Output file: examples/TE-output.txt
WARNING: file  examples/TE-output.txt  already exists.
Puzzle 327  T&E-depth = 3  Time = 3s  Cumulated time = 6m7s
Puzzle 328  T&E-depth = 3  Time = 5s  Cumulated time = 6m12s
Puzzle 329  T&E-depth = 3  Time = 4s  Cumulated time = 6m16s
Puzzle 330  T&E-depth = 3  Time = 5s  Cumulated time = 6m21s
Puzzle 331  T&E-depth = 3  Time = 4s  Cumulated time = 6m25s
Puzzle 332  T&E-depth = 3  Time = 5s  Cumulated time = 6m30s
Puzzle 333  T&E-depth = 3  Time = 3s  Cumulated time = 6m33s
Puzzle 334  T&E-depth = 3  Time = 4s  Cumulated time = 6m38s
Puzzle 335  T&E-depth = 3  Time = 4s  Cumulated time = 6m42s
Puzzle 336  T&E-depth = 3  Time = 6s  Cumulated time = 6m47s
Puzzle 337  T&E-depth = 3  Time = 5s  Cumulated time = 6m52s
Puzzle 338  T&E-depth = 3  Time = 6s  Cumulated time = 6m58s
Puzzle 339  T&E-depth = 3  Time = 6s  Cumulated time = 7m4s
Puzzle 340  T&E-depth = 3  Time = 4s  Cumulated time = 7m8s
Puzzle 341  T&E-depth = 3  Time = 5s  Cumulated time = 7m14s
Puzzle 342  T&E-depth = 3  Time = 6s  Cumulated time = 7m19s
Number of examined puzzles: 342
Number of unsolved puzzles: 0

Execution finished.
